ID,Name,DSM5 Criteria,Symptom of DSM5 Criteria,CUI,
ASD0779,difficulty initiating spontaneous play,A3,difficulties in sharing imaginative play,C0577503,
ASD0780,milestone: uses 2-3 word sentences,B1,idiosyncratic phrases,C2182752,
ASD0781,classic behavior,B2,ritualized patterns of verbal behavior,C0439658,
ASD0782,"seizure, partial, multiple symptoms",B1,simple motor stereotypies,C0278203,
ASD0783,does crouch,A1,failure of normal back-and-forth conversation,C0560489,
ASD0784,sensory overstimulation,B4,hyper-reactivity to sensory input,C4061324,
ASD0785,nail picking,B4,excessive touching of objects,C1868696,
ASD0786,abnormality of walk intermittent,A2,abnormalities in body language,C2004687,
ASD0787,"activity, walking an animal",B1,stereotyped motor movements,C2977620,
ASD0788,developmental delay in social skills,E,global developmental delay,C3840125,
ASD0789,community programs early intervention,A1,social-emotional reciprocity,C3863932,
ASD0790,motor dyspraxia,B1,repetitive motor movements,C2749112,
ASD0791,hallervorden spatz syndrome,E,intellectual developmental disorder,C0018523,
ASD0792,gait  staggering,B1,repetitive motor movements,C0701824,
ASD0793,asperger-like features,B4,unusual interest in sensory aspects of the environment,C3551522,
ASD0794,duane retraction syndrome,B1,echolalia,C0013261,
ASD0795,bowel sound(s) decreased,B4,adverse response to specific sounds,C0232695,
ASD0796,difficulty picking up objects,B1,use of objects,C0565705,
ASD0797,biting at flank,B4,excessive touching of objects,C3670893,
ASD0798,destructive behavior toward others,B2,ritualized patterns of nonverbal behavior,C4061619,
ASD0799,demonstrated behavior mannerisms pulling out hair,B2,ritualized patterns of nonverbal behavior,C2165329,
ASD0800,language read,A2,abnormalities in body language,C1299999,
ASD0801,heroin dependence,A3,difficulties adjusting behavior,C0019337,
ASD0802,usually appropriate behavior,B2,ritualized patterns of verbal behavior,C4036294,
ASD0803,excess behaviour,A3,difficulties adjusting behavior,C0562444,
ASD0804,speech difficult to understand,A2,poorly integrated verbal communication,C3166351,
ASD0805,auditory memory,B4,visual fascination with movement,C0561779,
ASD0806,decreased fine motor coordination,B1,repetitive motor movements,C3550786,
ASD0807,small hands (deletion patients),B4,excessive touching of objects,C3277094,
ASD0808,paranoid behavior,B2,ritualized patterns of verbal behavior,C0030474,
ASD0809,inability to initiate goal-directed behavior,A1,failure to initiate social interactions,C4062296,
ASD0810,idiosyncratic language perseverative,B1,idiosyncratic phrases,C4064942,
ASD0811,personality disorder  passive-aggressive,E,intellectual developmental disorder,C0030631,
ASD0812,"cognitive delay, mild (1 patient)",E,intellectual developmental disorder,C3549880,
ASD0813,problem  parent-child,A1,social-emotional reciprocity,C0030540,
ASD0814,"relatedness, relationship",A1,failure to initiate social interactions,C0680206,
ASD0815,echopraxia,B1,echolalia,C0233613,
ASD0816,frequently knocking things over,B1,flipping objects,C2008831,
ASD0817,difficulty using self-expression,A3,difficulties in making friends,C0566165,
ASD0818,speech delay (1 patient),E,global developmental delay,C3150291,
ASD0819,repetitive flapping movements,B1,repetitive motor movements,C0562460,
ASD0820,conversation content inappropriate,A1,failure of normal back-and-forth conversation,C0582168,
ASD0821,does walk heel to toe,B4,visual fascination with movement,C0560113,
ASD0822,repetitive tapping movements,B1,repetitive motor movements,C0562465,
ASD0823,clonic jerking,B1,stereotyped motor movements,C0742437,
ASD0824,homicidal behavior,B2,ritualized patterns of nonverbal behavior,C1828354,
ASD0825,bannayan-ruvalcaba-riley syndrome,E,intellectual developmental disorder,C0265326,
ASD0826,difficulty using different forms of conversation,A1,failure of normal back-and-forth conversation,C0566153,
ASD0827,social interaction nonverbal behaviors inappropriate emotions,B2,ritualized patterns of nonverbal behavior,C4064032,
ASD0828,eating behavior and appetite,B2,eat same food,C0474423,
ASD0829,poor eye contact (in some patients),A2,abnormalities in eye contact,C3554203,
ASD0830,book syndrome,E,intellectual developmental disorder,C0457014,
ASD0831,disorganized speech,B1,echolalia,C1866987,
ASD0832,"47, xyy syndrome",E,intellectual developmental disorder,C3266843,
ASD0833,speech phonation involuntary sounds vocal tics cough,B1,echolalia,C2018069,
ASD0834,hitting self,B4,excessive touching of objects,C0562716,
ASD0835,spatial awareness,B1,use of objects,C0584950,
ASD0836,pitt-hopkins syndrome,E,intellectual developmental disorder,C1970431,
ASD0837,inability to express a wide range of feelings,A1,failure to respond to social interactions,C4061940,
ASD0838,repetitive compulsive behavior,B1,repetitive motor movements,C1969697,
ASD0839,yellow green colour,B4,visual fascination with lights,C1269775,
ASD0840,evaluation  development state child,E,intellectual developmental disorder,C1397006,
ASD0841,"consciousness, clear",B4,visual fascination with movement,C0239110,
ASD0842,parental concerns: child cries a lot,A1,social-emotional reciprocity,C2034377,
ASD0843,incoherent thinking,B2,rigid thinking patterns,C0233643,
ASD0844,shprintzen syndrome,B1,echolalia,C0220704,
ASD0845,bardet-biedl syndrome,E,intellectual disability,C0752166,
ASD0846,oculodigitoesophagoduodenal syndrome,E,intellectual developmental disorder,C0796068,
ASD0847,repetitive complex twisting movements of whole body,B1,repetitive motor movements,C0562472,
ASD0848,wisc-iv verbal comprehension standard score,A2,poorly integrated verbal communication,C4027354,
ASD0849,rnax support speech therapy service,A2,poorly integrated verbal communication,C2958281,
ASD0850,speech and behavior delayed,B2,ritualized patterns of verbal behavior,C0858897,
ASD0851,"speech delay, severe",E,global developmental delay,C1968537,
ASD0852,aggressive type unsocialized behaviour disorder,B2,ritualized patterns of verbal behavior,C0233530,
ASD0853,difficulty understanding speech,A2,deficits in understanding and use of gestures,C2183453,
ASD0854,scream,B2,ritualized patterns of verbal behavior,C0521008,
ASD0855,hand tremors,B1,repetitive motor movements,C0239842,
ASD0856,gestures,A2,deficits in understanding and use of gestures,C0017510,
ASD0857,dependence,A3,difficulties adjusting behavior,C0439857,
ASD0858,awareness,B4,unusual interest in sensory aspects of the environment,C0004448,
ASD0859,kindergarten completion,A1,social-emotional reciprocity,C0681406,
ASD0860,heel toe gait,B1,repetitive motor movements,C0231779,
ASD0861,does turn head (finding),A1,failure of normal back-and-forth conversation,C0560902,
ASD0862,non-compliant behavior,B2,ritualized patterns of verbal behavior,C0474415,
ASD0863,eating problem,B2,eat same food,C0424421,
ASD0864,delayed speech (in some patients),E,global developmental delay,C3278370,
ASD0865,difficulty processing information,A3,difficulties adjusting behavior,C0584954,
ASD0866,difficulty completing required tasks,B2,difficulties with transitions,C4062093,
ASD0867,adaptive behaviors,B2,ritualized patterns of nonverbal behavior,C0085880,
ASD0868,difficulty directing attention,A3,difficulties in making friends,C0566195,
ASD0869,high pitched bowel sounds,B4,adverse response to specific sounds,C0239953,
ASD0870,isaacs syndrome,E,intellectual developmental disorder,C0242287,
ASD0871,threatening behaviour,B2,ritualized patterns of nonverbal behavior,C0562573,
ASD0872,lacks appropriate stimulation/cognitive experiences,A2,lack of nonverbal communication,C0237224,
ASD0873,speech fluency reading prosody,B1,echolalia,C2018023,
ASD0874,"syndrome, neurocutaneous",E,intellectual developmental disorder,C0265316,
ASD0875,difficulty controlling posture,A3,difficulties adjusting behavior,C0561951,
ASD0876,lack of attention,A2,lack of nonverbal communication,C1398138,
ASD0877,notable friendly behavior,B2,ritualized patterns of nonverbal behavior,C2749647,
ASD0878,difficulty maintaining relationships,A3,difficulties in making friends,C1827663,
ASD0879,severely abnormal behaviour,B2,ritualized patterns of nonverbal behavior,C0475177,
ASD0880,facial twitching,A2,lack of facial expressions,C0858722,
ASD0881,difficulty sitting,A3,difficulties in making friends,C0560883,
ASD0882,anger outburst,B2,ritualized patterns of nonverbal behavior,C0424329,
ASD0883,"stereotypic behaviors (tantrums, aggressiveness)",B2,ritualized patterns of nonverbal behavior,C1839859,
ASD0884,auditory perceptual disorders,B4,visual fascination with movement,C0004310,
ASD0885,"thinking, critical",B2,rigid thinking patterns,C4279941,
ASD0886,unresponsive behavior,B2,ritualized patterns of nonverbal behavior,C0237284,
ASD0887,"gait, drop foot",B1,repetitive motor movements,C0427149,
ASD0888,problem with fine motor skills,B1,repetitive motor movements,C1658106,
ASD0889,tactile,B4,hyper-reactivity to sensory input,C0439815,
ASD0890,interpersonal relationship problems,A3,difficulties in making friends,C0814588,
ASD0891,head and eye gaze deviation,A2,abnormalities in eye contact,C4049564,
ASD0892,pays fleeting attention,B4,unusual interest in sensory aspects of the environment,C0424103,
ASD0893,reading comprehension,A1,social-emotional reciprocity,C0871214,
ASD0894,sensory changes,B4,hyper-reactivity to sensory input,C1409715,
ASD0895,processing speed,E,intellectual developmental disorder,C0582591,
ASD0896,lack of peer relationships,A2,lack of nonverbal communication,C1845337,
ASD0897,difficult (qualifier value),B2,difficulties with transitions,C0332218,
ASD0898,peer problem,A3,absence of interest in peers,C3532917,
ASD0899,child behavior symptom/complaint,B2,ritualized patterns of verbal behavior,C0497321,
ASD0900,maladaptive behavior,B2,ritualized patterns of verbal behavior,C0562443,
ASD0901,mild mental retardation in some,E,intellectual disability,C1855886,
ASD0902,biting nail,B1,echolalia,C0027338,
ASD0903,behavior disruptive,B2,ritualized patterns of nonverbal behavior,C0474416,
ASD0904,slurred speech,B1,echolalia,C0234518,
ASD0905,"impairment, hearing",A2,deficits in understanding and use of gestures,C1384666,
ASD0906,managing one's own behavior,A3,difficulties adjusting behavior,C2372031,
ASD0907,short sleeper syndromes,E,intellectual developmental disorder,C0751509,
ASD0908,behaviour negatively reinforced,B2,ritualized patterns of verbal behavior,C0562439,
ASD0909,childhood communication disorders,A2,nonverbal communication,C0751048,
ASD0910,articulation problem,B1,echolalia,C1700763,
ASD0911,"speech delay, mild",B1,echolalia,C4231438,
ASD0912,unable to talk,A1,failure of normal back-and-forth conversation,C0278249,
ASD0913,arms legs rash,B1,repetitive motor movements,C0857190,
ASD0914,speech articulation voicing errors,B1,echolalia,C2018011,
ASD0915,excessive guilt,B3,preoccupation,C1822591,
ASD0916,wyburn-mason syndrome,E,intellectual developmental disorder,C0265321,
ASD0917,finger joint-range movement,B1,repetitive motor movements,C0575830,
ASD0918,"involuntary rhythmic myoclonic movements ('tremor'), upper extremities",B1,repetitive motor movements,C3554561,
ASD0919,difficulty with writing and drawing,B2,difficulties with transitions,C3280826,
ASD0920,redness of face,A2,lack of facial expressions,C0857245,
ASD0921,tactile alteration,B4,hyper-reactivity to sensory input,C0184564,
ASD0922,peutz jeghers syndrome,E,intellectual disability,C0031269,
ASD0923,complete trisomy 18 syndrome,E,intellectual disability,C0152096,
ASD0924,neologisms,B1,echolalia,C0233647,
ASD0925,job change requiring substantial additional skills,B2,difficulties with transitions,C2108474,
ASD0926,"cognitive regression, mild",E,intellectual developmental disorder,C3277000,
ASD0927,rides tricycle or bicycle with training wheels,B4,visual fascination with lights,C0517135,
ASD0928,personal communication,A2,nonverbal communication,C0086792,
ASD0929,bouncy gait,B1,repetitive motor movements,C0427146,
ASD0930,swollen cheek,A2,lack of facial expressions,C0238977,
ASD0931,perinatal complications,E,intellectual developmental disorder,C4060932,
ASD0932,"spatial processings, visual-auditory",B4,visual fascination with movement,C3850025,
ASD0933,purposeful head movement,B1,stereotyped motor movements,C1821251,
ASD0934,"unintelligible speech, vocalizations, grunting",B1,echolalia,C2674583,
ASD0935,demonstrated behavior stereotypy clapping,B2,ritualized patterns of verbal behavior,C4065489,
ASD0936,preoccupation with violent thoughts,B3,preoccupation,C2115874,
ASD0937,speech fluency dialogue dysfluency,B1,echolalia,C2018019,
ASD0938,thought processes attention visual immediate,B4,visual fascination with movement,C2115888,
ASD0939,self-damaging behavior  problem,B2,ritualized patterns of nonverbal behavior,C1405468,
ASD0940,developmental symptoms,E,intellectual developmental disorder,C0476236,
ASD0941,milestone: uses words to communicate,A2,nonverbal communication,C2182632,
ASD0942,oppositional disorder,E,intellectual developmental disorder,C0679491,
ASD0943,spelling ability,B1,echolalia,C0869025,
ASD0944,delayed pre-verbal development,E,global developmental delay,C0454645,
ASD0945,distress vocalization,B2,extreme distress at small changes,C3670534,
ASD0946,ability to process information,A1,failure to respond to social interactions,C0584951,
ASD0947,motor speech,B1,stereotyped motor movements,C4035655,
ASD0948,verbal skills limited to automatic responses,B2,ritualized patterns of verbal behavior,C2189313,
ASD0949,decrease in gross motor skills,B1,simple motor stereotypies,C4063017,
ASD0950,self organization,B2,insistence on sameness,C0597432,
ASD0951,mohr-tranebj??rg syndrome,E,intellectual developmental disorder,C0796074,
ASD0952,mood disorder of manic type,E,intellectual developmental disorder,C3531750,
ASD0953,social learning,A1,abnormal social approach,C0679082,
ASD0954,delayed myelination,E,global developmental delay,C1277241,
ASD0955,collective behavior,B2,ritualized patterns of nonverbal behavior,C0680406,
ASD0956,camptodactyly-arthropathy-coxa vara-pericarditis syndrome,E,intellectual developmental disorder,C1859690,
ASD0957,finger twitching,B1,repetitive motor movements,C1847992,
ASD0958,magenis syndrome smith,E,intellectual developmental disorder,C0795864,
ASD0959,developmental verbal apraxia,E,intellectual developmental disorder,C0750927,
ASD0960,craves,B3,preoccupation,C0870371,
ASD0961,difficulty reading english,A2,abnormalities in body language,C2183437,
ASD0962,movement partial seizure,B1,stereotyped motor movements,C0278195,
ASD0963,aggressive periodontitis,A1,failure to initiate social interactions,C0031106,
ASD0964,difficulty using escalator,A3,difficulties in making friends,C0578324,
ASD0965,short hair,B4,unusual interest in sensory aspects of the environment,C2750590,
ASD0966,sturge weber syndrome,E,intellectual developmental disorder,C0038505,
ASD0967,curly hair (finding),E,global developmental delay,C0558165,
ASD0968,difficulty in stopping walking,A3,difficulties in making friends,C0560097,
ASD0969,chemosensory jump behaviour,B2,ritualized patterns of nonverbal behavior,C1154327,
ASD0970,unable to eat,B2,eat same food,C0566306,
ASD0971,movement muscles,B1,repetitive motor movements,C0517907,
ASD0972,use of non-verbal language,A2,nonverbal communication,C0517239,
ASD0973,incidental learning,B1,use of objects,C0870688,
ASD0974,gross motor delay (in some patients),E,global developmental delay,C4229495,
ASD0975,childhood-onset fluency disorders,E,intellectual developmental disorder,C2921028,
ASD0976,parental concerns: child's behavior,B2,ritualized patterns of verbal behavior,C2034395,
ASD0977,emotional learning,A1,reduced sharing of emotions,C0582589,
ASD0978,activity intolerance,A3,difficulties adjusting behavior,C0231367,
ASD0979,social interaction impairment in peer relationships,A1,failure to initiate social interactions,C4064037,
ASD0980,obsessive features,B1,echolalia,C2678231,
ASD0981,self-care behaviour,B2,ritualized patterns of nonverbal behavior,C0474417,
ASD0982,jervell and lange-nielsen syndrome,E,intellectual developmental disorder,C0022387,
ASD0983,renpenning syndrome 1,E,intellectual disability,C0796135,
ASD0984,personality disorders with dramatic behaviour (cluster b),B2,ritualized patterns of verbal behavior,C0852550,
ASD0985,suspicious behavior (finding),B2,ritualized patterns of nonverbal behavior,C0233519,
ASD0986,slow-growing hair,B4,unusual interest in sensory aspects of the environment,C1832348,
ASD0987,language-related cognitive disorder,E,intellectual developmental disorder,C0454588,
ASD0988,cheek and lip biting,A2,lack of facial expressions,C0494717,
ASD0989,tic  compulsive,B1,simple motor stereotypies,C1406960,
ASD0990,does use respiratory support for speech,A2,deficits in understanding and use of gestures,C0564070,
ASD0991,does direct attention (finding),B4,unusual interest in sensory aspects of the environment,C0566193,
ASD0992,compulsive handwashing,B1,simple motor stereotypies,C0424288,
ASD0993,refrains from injuring self,B4,excessive touching of objects,C0518592,
ASD0994,routines/rituals perseverative play,A3,difficulties in sharing imaginative play,C4064177,
ASD0995,communication impairment in development of spoken language,A2,nonverbal communication,C4065876,
ASD0996,autistic-like features,B1,echolalia,C2749029,
ASD0997,delayed developmental milestones fine motor,E,global developmental delay,C2164863,
ASD0998,celf-4 receptive language index standard score,A2,abnormalities in body language,C4066014,
ASD0999,gaze paretic nystagmus,B1,stereotyped motor movements,C0344244,
ASD1000,abusive behavior,B2,ritualized patterns of verbal behavior,C0237220,
ASD1001,baby  crying constantly,A1,social-emotional reciprocity,C0424961,
ASD1002,"eye anomalies, variable",A2,abnormalities in eye contact,C3152181,
ASD1003,assmann's focus,B3,highly fixated interests,C1388859,
ASD1004,head-rolling movements,B1,repetitive motor movements,C1866128,
ASD1005,poor writing skills,A2,lack of nonverbal communication,C0860103,
ASD1006,social situation,A1,abnormal social approach,C0748872,
ASD1007,speech and language abnormalities,A2,abnormalities in body language,C0852418,
ASD1008,abuse self,B3,preoccupation,C1290899,
ASD1009,visuospatial agnosia,B1,echolalia,C0563622,
ASD1010,feline hyperesthesia syndrome,E,global developmental delay,C3665330,
ASD1011,vertical gaze palsy,B1,stereotyped motor movements,C0339652,
ASD1012,slow gross motor activity,B1,simple motor stereotypies,C1850571,
ASD1013,wppsi-iv cognitive proficiency index,E,intellectual developmental disorder,C4063209,
ASD1014,speech language palilalia (repetition of own words),A2,abnormalities in body language,C2018039,
ASD1015,lack of  financial resources,A2,lack of nonverbal communication,C1397366,
ASD1016,decreased haem-haem interaction,A1,reduced sharing of affect,C0313270,
ASD1017,low risk of harm to self,A1,failure to respond to social interactions,C1320313,
ASD1018,cognitive development,E,intellectual developmental disorder,C0679035,
ASD1019,visual memory for objects,B1,use of objects,C0561787,
ASD1020,verbal outbursts (in one patient),B2,ritualized patterns of verbal behavior,C3809614,
ASD1021,attitude toward self,B3,preoccupation,C0679132,
ASD1022,change in eating pattern,B2,eat same food,C1821720,
ASD1023,measurement of cognitive linguistic ability score,A2,deficits in understanding and use of gestures,C4274254,
ASD1024,poverty of speech,B1,echolalia,C0233720,
ASD1025,"gait, shuffling",B1,repetitive motor movements,C0231688,
ASD1026,difficulty moving hand,A3,difficulties adjusting behavior,C0239827,
ASD1027,bizarre thoughts,B1,echolalia,C0558070,
ASD1028,confusion episode,B1,echolalia,C0742737,
ASD1029,verbal skills limited to expressing complex ideas,A2,poorly integrated verbal communication,C2189315,
ASD1030,rhythmic rocking or bumping,B1,stereotyped motor movements,C2200455,
ASD1031,executive cognitive functions,B1,repetitive motor movements,C0589089,
ASD1032,difficulty greeting,B2,difficulties with transitions,C0566231,
ASD1033,writing skills,B2,ritualized patterns of verbal behavior,C0871623,
ASD1034,decrease in problem-solving ability,A2,deficits in understanding and use of gestures,C4061478,
ASD1035,nakajo syndrome,E,intellectual developmental disorder,C1850568,
ASD1036,decrease in fine motor skills,B1,repetitive motor movements,C4063018,
ASD1037,euthyroid sick syndrome,E,intellectual developmental disorder,C0015190,
ASD1038,stuttering patient awareness subtle,B1,echolalia,C2036553,
ASD1039,outbursts of aggression or rage,B1,echolalia,C0683401,
ASD1040,haspeslagh fryns muelenaere syndrome,E,intellectual developmental disorder,C1867443,
ASD1041,milestone: calms self,B3,preoccupation,C3250036,
ASD1042,learning difficulties (less common),E,intellectual disability,C1832670,
ASD1043,developmental delay or regression,E,global developmental delay,C2748611,
ASD1044,speech and language developmental delay due to hearing loss,E,global developmental delay,C1955750,
ASD1045,speech tone high-pitched,B1,echolalia,C2018115,
ASD1046,social interaction nonverbal behaviors limited or fleeting eye contact,A2,nonverbal communication,C4064031,
ASD1047,overlaps syndrome,E,intellectual developmental disorder,C0410000,
ASD1048,difficulty walking on heels,A3,difficulties in making friends,C3551015,
ASD1049,cognitive learning,E,intellectual developmental disorder,C0683267,
ASD1050,disruptive vocalisation,B1,echolalia,C3697171,
ASD1051,cries in response to sound,B4,adverse response to specific sounds,C0585349,
ASD1052,check intensity of lights daily,B4,visual fascination with lights,C0509381,
ASD1053,ability to interact with others,A1,failure to respond to social interactions,C0558182,
ASD1054,aggression (rare),B2,ritualized patterns of verbal behavior,C4012178,
ASD1055,able to understand humour,A3,"deficits in developing, maintaining, and understand relationships, ranging",C4274577,
ASD1056,merrf/melas overlap syndrome,A3,difficulties in sharing imaginative play,C3151970,
ASD1057,loss of friend,A3,difficulties in making friends,C0850960,
ASD1058,unable to resist obsessional thoughts,B3,preoccupation,C0424213,
ASD1059,other developmental speech or language disorder,E,intellectual developmental disorder,C0154633,
ASD1060,irritation - emotion,A1,reduced sharing of emotions,C2700617,
ASD1061,provocative behavior,B2,ritualized patterns of nonverbal behavior,C0474403,
ASD1062,watching videos-dvds,B4,excessive touching of objects,C3842749,
ASD1063,social interaction skills,A1,failure to respond to social interactions,C0518605,
ASD1064,very poor expressive speech,B1,echolalia,C4014415,
ASD1065,eye turn in response to sound,B4,visual fascination with movement,C0576934,
ASD1066,22q13.3 deletion syndrome,E,intellectual disability,C1853490,
ASD1067,aggressive behaviour,B2,ritualized patterns of nonverbal behavior,C0001807,
ASD1068,expressed emotion,A1,reduced sharing of emotions,C0302826,
ASD1069,peer relations,A1,social-emotional reciprocity,C0679972,
ASD1070,developmental delay (in some),E,global developmental delay,C2748837,
ASD1071,anxiety disorder separation,E,intellectual developmental disorder,C0003477,
ASD1072,drastic upset,B2,extreme distress at small changes,C0743236,
ASD1073,"behavior, choice",B2,ritualized patterns of verbal behavior,C0008300,
ASD1074,feeds self with difficulty,A3,difficulties in making friends,C0566418,
ASD1075,delayed developmental milestones social,E,global developmental delay,C2164865,
ASD1076,language comprehension,A2,abnormalities in body language,C0233733,
ASD1077,rumination - thoughts,B1,echolalia,C0423985,
ASD1078,bursting sensation quality,B4,hyper-reactivity to sensory input,C0439818,
ASD1079,delayed ability to walk,A1,failure to initiate social interactions,C0241726,
ASD1080,immature behavior,A3,difficulties adjusting behavior,C0233513,
ASD1081,abnormal fear/anxiety-related behavior,B2,ritualized patterns of nonverbal behavior,C4018849,
ASD1082,syndrome  restless legs,B1,simple motor stereotypies,C0035258,
ASD1083,poor communication,A2,lack of nonverbal communication,C3276616,
ASD1084,shakes,B2,eat same food,C0392703,
ASD1085,overlying behaviour,B2,ritualized patterns of nonverbal behavior,C0233536,
ASD1086,"blank, staring face while sleep walking",B4,visual fascination with movement,C0424280,
ASD1087,harmful thoughts,B3,preoccupation,C0438698,
ASD1088,discomfort in social situations,A1,failure to initiate social interactions,C4061788,
ASD1089,change in sleeping habits,B2,ritualized patterns of nonverbal behavior,C0680104,
ASD1090,emotional outbursts,A1,reduced sharing of emotions,C0679475,
ASD1091,unusual change in behavior,B4,unusual interest in sensory aspects of the environment,C1997335,
ASD1092,emotional needs,A1,reduced sharing of emotions,C0870484,
ASD1093,craving for non-food item,B3,preoccupation,C0558173,
ASD1094,sleep disturbances (in some patients),B1,stereotyped motor movements,C4013447,
ASD1095,writhing movements,B1,stereotyped motor movements,C0427090,
ASD1096,verbally threatening behavior,B2,ritualized patterns of verbal behavior,C0562575,
ASD1097,unable to complete,A1,failure to initiate social interactions,C3842772,
ASD1098,"disorder, blind-deaf",E,intellectual developmental disorder,C1955603,
ASD1099,cognitive deficit in attention,A2,abnormalities in body language,C4076080,
ASD1100,stabbing self,B3,preoccupation,C0562719,
ASD1101,inconsolable crying,B2,ritualized patterns of nonverbal behavior,C1698479,
ASD1102,therapy outcome measure impairment score,A2,deficits in understanding and use of gestures,C4273772,
ASD1103,gait change,B1,repetitive motor movements,C0744247,
ASD1104,reading difficulties,B2,difficulties with transitions,C0586742,
ASD1105,"behavior, addictive",B2,ritualized patterns of verbal behavior,C0085281,
ASD1106,emotional state,A1,reduced sharing of emotions,C0935620,
ASD1107,whispering,A3,difficulties in sharing imaginative play,C0234766,
ASD1108,seizure like activity episode shaking,B1,stereotyped motor movements,C0748597,
ASD1109,poor fine motor coordination,B1,repetitive motor movements,C1867864,
ASD1110,deficit in reading comprehension,A2,deficits in understanding and use of gestures,C1847616,
ASD1111,informal relationships with peers,A3,absence of interest in peers,C2371563,
ASD1112,hallucination visual auditory,B4,visual fascination with movement,C0740399,
ASD1113,comprehension,B1,echolalia,C0162340,
ASD1114,slow speech,B1,echolalia,C1859270,
ASD1115,facial weakness (in some),A2,lack of facial expressions,C2748809,
ASD1116,word finding difficulty (disorder),B1,echolalia,C0454643,
ASD1117,mitral valve prolapse syndrome,A1,abnormal social approach,C0026267,
ASD1118,defensive behavior,B2,ritualized patterns of nonverbal behavior,C0679190,
ASD1119,emotional reactions,A1,reduced sharing of emotions,C0221736,
ASD1120,reward dependence behavior,A3,difficulties adjusting behavior,C0814100,
ASD1121,behavioural insomnia of childhood,B1,simple motor stereotypies,C1561701,
ASD1122,"apnea syndromes, sleep",E,intellectual disability,C0037315,
ASD1123,poor self-esteem (finding),B3,preoccupation,C2945580,
ASD1124,learning difficulties,B2,difficulties with transitions,C0424939,
ASD1125,"impairment, visual",B4,visual fascination with movement,C3665347,
ASD1126,current difficulty with school subjects,B2,difficulties with transitions,C2136042,
ASD1127,finger rub not heard,B4,apparent indifference to pain,C2156819,
ASD1128,reading  developmental disorder,E,intellectual developmental disorder,C0920296,
ASD1129,special behavior symptom evaluation program,B2,ritualized patterns of verbal behavior,C1976747,
ASD1130,eating routine,B2,eat same food,C0392339,
ASD1131,interpersonal,A1,social-emotional reciprocity,C3476070,
ASD1132,modeling behavior,A3,difficulties adjusting behavior,C0683268,
ASD1133,difficulty making decisions,A3,difficulties in making friends,C0423908,
ASD1134,narrow,A1,reduced sharing of affect,C0333164,
ASD1135,mixed behaviour and emotional disorder,B2,ritualized patterns of nonverbal behavior,C0233533,
ASD1136,speech rate,B1,echolalia,C0871413,
ASD1137,motor restlessness,B1,simple motor stereotypies,C0700075,
ASD1138,"behavior, child",B2,ritualized patterns of verbal behavior,C0008065,
ASD1139,dandy-walker syndrome,E,intellectual developmental disorder,C0010964,
ASD1140,progressive symptoms,B1,repetitive motor movements,C0240807,
ASD1141,developmental academic disability,E,intellectual developmental disorder,C1330966,
ASD1142,hand tremor (in some patients),B1,repetitive motor movements,C3807357,
ASD1143,difficulty with fine manipulative tasks,A2,deficits in understanding and use of gestures,C2128502,
ASD1144,syndrome sicca,E,intellectual developmental disorder,C0086981,
ASD1145,"hallucination, tactile",B4,visual fascination with movement,C0233767,
ASD1146,facial paralysis,A2,lack of facial expressions,C0015469,
ASD1147,optimal change scores - difficulty,B2,difficulties with transitions,C3257947,
ASD1148,food-protein induced enterocolitis syndrome,B2,eat same food,C4268599,
ASD1149,obsessive-compulsive disorders and symptoms,B1,simple motor stereotypies,C2609239,
ASD1150,original hair color,B4,visual fascination with lights,C2028329,
ASD1151,fine motor task disruption,B1,repetitive motor movements,C4013589,
ASD1152,behavior self-defeating,B2,ritualized patterns of verbal behavior,C0683311,
ASD1153,unable to walk (finding),B1,stereotyped motor movements,C0560046,
ASD1154,social/emotional reciprocity lacks knowledge of appropriate social behavior,A1,social-emotional reciprocity,C4064023,
ASD1155,overlapping fingers (in some patients),B1,repetitive motor movements,C4013236,
ASD1156,associations (word),B1,idiosyncratic phrases,C0237483,
ASD1157,difficulty interpreting or responding to verbal/nonverbal communication,A2,nonverbal communication,C1948155,
ASD1158,saethre-chotzen syndrome,E,intellectual developmental disorder,C0175699,
ASD1159,strange and inexplicable behavior,B2,ritualized patterns of nonverbal behavior,C0476546,
ASD1160,loss of self-esteem,B3,preoccupation,C0424219,
ASD1161,school refusal,B2,insistence on sameness,C0395000,
ASD1162,psychosocial adaptive behavior: life change,B2,extreme distress at small changes,C0518201,
ASD1163,anarthria speech disorder,B1,echolalia,C0234517,
ASD1164,"participation, social",A1,abnormal social approach,C0814554,
ASD1165,triangular face,A2,lack of facial expressions,C1835884,
ASD1166,alcohol  withdrawal syndrome,B1,simple motor stereotypies,C0236663,
ASD1167,kbg syndrome,E,intellectual developmental disorder,C0220687,
ASD1168,doll's head reflex,B1,stereotyped motor movements,C0234183,
ASD1169,severe  interferes with many activities,A3,difficulties in sharing imaginative play,C4035410,
ASD1170,intellectual disability (mental retardation in federal regulation),E,intellectual disability,C3841613,
ASD1171,posture  abnormal,A1,abnormal social approach,C0231471,
ASD1172,crying out,B4,apparent indifference to pain,C3670533,
ASD1173,children with autism spectrum disorders,E,intellectual developmental disorder,C3824699,
ASD1174,interim stress electrocardiogram pacemaker pacing too slowly,B1,repetitive motor movements,C2061812,
ASD1175,"hepatitis, drug-induced, idiosyncratic",B1,idiosyncratic phrases,C0238162,
ASD1176,animal social behavior,A1,failure to respond to social interactions,C0679157,
